seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1320,45.755571,54.988326,1.201784,80.700,39.700,1,1,1.045441|1.047810,1.045441|1.047810|1.011620|0.949909,false
1321,15.546734,59.959925,3.856754,54.200,35.200,1,1,1.046489|0.877659,1.046489|0.877659|1.022459|1.014820,true
1322,27.968770,50.670986,1.811699,69.000,43.200,1,1,1.039915|1.036662,1.039915|1.036662|0.965938|0.913049,false
1323,46.790794,42.463380,0.907516,60.600,38.600,1,1,0.984118|1.036681,0.984118|1.036681|0.960701|0.961444,false
1324,20.864188,52.422368,2.512552,64.200,40.200,1,1,0.994341|0.937736,0.994341|0.937736|1.059955|1.029396,false
1325,47.140950,44.389062,0.941624,57.800,37.300,1,1,0.983885|1.055251,0.983885|1.055251|0.997400|0.970857,false
1326,47.614233,47.268963,0.992749,55.000,35.900,1,1,0.993440|1.081089,0.993440|1.081089|0.955870|1.013482,false
1327,21.533794,53.574289,2.487917,66.000,41.100,1,1,0.985225|0.939927,0.985225|0.939927|0.976673|1.098835,false
1328,46.351292,41.173740,0.888298,61.200,39.000,1,1,0.935284|1.011504,0.935284|1.011504|1.008205|1.036561,false
1329,19.851728,53.897103,2.714983,56.800,36.600,1,1,1.058013|0.971218,1.058013|0.971218|1.054406|0.989542,false
1330,23.934443,50.797402,2.122356,68.200,42.300,1,1,0.996051|0.971077,0.996051|0.971077|0.963737|0.978459,false
1331,46.242841,41.505608,0.897557,65.400,40.700,1,1,1.005060|1.027087,1.005060|1.027087|1.045084|0.995448,false
1332,19.239829,56.922811,2.958592,57.800,37.100,1,1,1.040363|0.946728,1.040363|0.946728|0.977636|0.957862,false
1333,23.461155,52.797077,2.250404,64.600,40.400,1,1,1.018647|0.992198,1.018647|0.992198|0.955635|1.074485,false
1334,46.662288,44.167518,0.946536,57.400,37.200,1,1,0.928297|1.036240,0.928297|1.036240|0.935809|1.025902,false
1335,45.330604,50.299575,1.109616,72.200,41.900,1,1,0.974917|0.983891,0.974917|0.983891|1.064991|1.036721,false
1336,46.849512,43.543065,0.929424,58.400,37.700,1,1,0.964201|1.042672,0.964201|1.042672|0.995601|0.961365,false
1337,45.274175,54.642570,1.206926,76.800,39.900,1,1,0.989346|0.995741,0.989346|0.995741|1.029600|0.947397,false
1338,46.527410,41.267339,0.886947,62.600,39.500,1,1,1.011493|1.040350,1.011493|1.040350|0.992379|1.019730,false
1339,23.155881,53.270682,2.300525,61.000,38.700,1,1,1.048662|1.015475,1.048662|1.015475|0.970451|1.009632,false
1340,45.673779,37.820732,0.828062,66.000,41.300,1,1,0.943661|0.989153,0.943661|0.989153|1.001750|0.963469,false
1341,45.505879,38.751578,0.851573,68.200,42.300,1,1,0.953170|0.982683,0.953170|0.982683|0.956135|0.989638,false
1342,20.712157,54.987226,2.654829,62.200,39.300,1,1,1.011198|0.947901,1.011198|0.947901|0.991027|0.992083,false
1343,45.847380,44.467514,0.969903,67.200,41.900,1,1,0.997390|1.015763,0.997390|1.015763|0.958650|0.929307,false
1344,47.143341,44.405810,0.941932,57.800,37.300,1,1,0.999365|1.060497,0.999365|1.060497|1.115087|1.037419,false
1345,22.213622,53.817095,2.422707,64.200,40.100,1,1,1.011058|0.964260,1.011058|0.964260|0.938449|0.862595,false
1346,17.636809,57.439831,3.256815,55.200,35.800,1,1,1.053103|0.925459,1.053103|0.925459|1.023522|1.034267,true
1347,22.439471,52.948030,2.359593,63.000,39.700,1,1,1.024046|0.977862,1.024046|0.977862|1.018059|1.005746,false
1348,20.791448,53.176217,2.557601,58.600,37.500,1,1,1.046481|0.978835,1.046481|0.978835|1.047930|1.009449,false
1349,46.914587,43.285620,0.922647,62.800,39.600,1,1,1.044642|1.060394,1.044642|1.060394|0.965220|1.119017,false
1350,22.458817,52.720473,2.347429,63.000,39.800,1,1,1.020969|0.982256,1.020969|0.982256|0.998676|1.001557,false
1351,25.327874,52.063543,2.055583,64.800,41.000,1,1,1.041789|1.024426,1.041789|1.024426|1.070884|0.977591,false
1352,45.275810,53.387753,1.179167,79.800,40.300,1,1,0.989088|0.992382,0.989088|0.992382|0.959971|1.066634,false
1353,46.853876,43.261803,0.923335,59.000,37.900,1,1,0.971934|1.042624,0.971934|1.042624|0.969045|1.035080,false
1354,45.768724,42.745282,0.933941,67.200,41.900,1,1,0.984785|1.010432,0.984785|1.010432|0.977587|1.057772,false
1355,20.424725,53.446579,2.616759,66.800,41.600,1,1,0.967938|0.910753,0.967938|0.910753|0.978243|0.986227,false
1356,46.664083,42.848939,0.918242,59.600,38.200,1,1,0.986685|1.042170,0.986685|1.042170|0.925056|0.988727,false
1357,46.037000,40.877596,0.887929,65.800,40.800,1,1,0.994457|1.016838,0.994457|1.016838|1.039503|1.052644,false
1358,46.310963,48.487468,1.046998,66.200,41.200,1,1,1.038755|1.048924,1.038755|1.048924|0.975303|0.988153,false
1359,26.590503,51.026745,1.918984,73.600,46.100,1,1,0.986766|0.982145,0.986766|0.982145|1.041980|0.988650,false
1360,46.823054,43.781431,0.935040,58.200,37.500,1,1,0.956473|1.040017,0.956473|1.040017|0.962125|1.098708,false
1361,22.394249,52.322570,2.336429,61.000,38.700,1,1,1.039085|0.998635,1.039085|0.998635|1.021660|0.969202,false
1362,46.330585,41.027964,0.885548,62.400,39.600,1,1,0.980800|1.022032,0.980800|1.022032|0.927371|1.005388,false
1363,47.762208,48.438892,1.014168,53.400,35.200,1,1,0.973852|1.088193,0.973852|1.088193|0.997470|0.936093,false
1364,23.333366,51.233700,2.195727,66.600,41.500,1,1,1.001206|0.973143,1.001206|0.973143|1.002867|0.980554,false
1365,45.711412,51.627055,1.129413,70.000,41.000,1,1,1.007415|1.016489,1.007415|1.016489|1.027330|1.110341,false
1366,45.423892,54.457440,1.198872,77.200,39.800,1,1,1.008133|1.007538,1.008133|1.007538|0.980365|1.042451,false
1367,27.057470,51.416353,1.900265,72.200,45.200,1,1,1.005928|0.995746,1.005928|0.995746|1.032665|0.930651,false
1368,27.320589,48.207128,1.764498,85.000,48.100,1,1,0.930216|0.920176,0.930216|0.920176|0.945172|0.969346,false
1369,19.797264,54.868094,2.771499,59.800,38.000,1,1,1.025383|0.945220,1.025383|0.945220|1.005242|1.016636,false
1370,16.173566,59.663085,3.688926,49.800,33.100,1,1,1.108620|0.931177,1.108620|0.931177|1.003621|0.959691,true
1371,23.327021,50.334951,2.157796,70.800,44.000,1,1,0.968598|0.943796,0.968598|0.943796|0.997212|1.067556,false
1372,21.789446,53.020476,2.433310,59.800,38.200,1,1,1.046248|0.991103,1.046248|0.991103|1.047316|0.931896,false
1373,21.749920,53.926456,2.479386,64.800,40.500,1,1,0.998209|0.953760,0.998209|0.953760|0.965512|1.005635,false
1374,25.403544,50.508581,1.988249,66.200,41.300,1,1,1.029032|1.015688,1.029032|1.015688|0.926754|0.999612,false
