seed,single_dmg,triple_dmg,ratio,single_combat,triple_combat,single_contact,triple_contact,single_qod,triple_qod,ge3
1061,47.022622,27.676373,0.588576,60.600,32.900,100,97,1.022049|1.058270,1.022049|1.058270|1.063631|0.985862,false
1062,46.646561,27.250697,0.584195,62.400,32.700,100,97,1.018704|1.049243,1.018704|1.049243|1.049577|1.002616,false
1063,46.075407,26.902394,0.583878,65.600,33.300,100,97,0.985791|1.013660,0.985791|1.013660|1.042148|0.986413,false
1064,46.824394,27.442292,0.586068,59.200,33.200,100,97,0.981313|1.044558,0.981313|1.044558|1.023162|1.026175,false
1065,46.241835,28.490215,0.616113,60.800,34.200,100,97,0.936568|1.015544,0.936568|1.015544|1.056709|1.032469,false
1066,24.786330,26.032654,1.050283,68.800,32.400,100,97,1.000887|0.983010,1.000887|0.983010|0.991176|1.027744,false
1067,46.166589,27.022264,0.585321,64.600,32.400,100,97,0.982389|1.012498,0.982389|1.012498|1.003491|1.095867,false
1068,46.181460,26.036888,0.563795,66.800,32.300,100,97,1.022372|1.037852,1.022372|1.037852|0.996551|1.064681,false
1069,23.042620,26.089758,1.132239,60.600,32.600,100,97,1.049369|1.017020,1.049369|1.017020|1.010538|1.031082,false
1070,45.176858,25.097502,0.555539,81.200,33.100,100,97,0.988004|0.991952,0.988004|0.991952|0.953216|0.938114,false
1071,45.671830,25.287596,0.553680,68.200,32.500,100,97,0.965021|0.993420,0.965021|0.993420|0.939573|1.049115,false
1072,21.346094,24.682796,1.156314,63.000,32.900,100,97,1.009953|0.958027,1.009953|0.958027|0.985861|0.980999,false
1073,19.853140,25.255746,1.272129,53.400,32.700,100,97,1.096286|1.001683,1.096286|1.001683|1.055472|0.901538,false
1074,19.442457,25.601575,1.316787,61.800,33.000,100,97,1.002995|0.921749,1.002995|0.921749|1.001451|0.947008,false
1075,23.591063,24.985306,1.059100,65.200,33.300,100,97,1.015688|0.987807,1.015688|0.987807|0.969247|0.945506,false
1076,46.035363,26.645061,0.578796,63.600,33.100,100,97,0.980888|1.017619,0.980888|1.017619|1.011798|0.944619,false
1077,46.329764,27.116966,0.585303,59.600,34.400,100,97,0.914560|1.014459,0.914560|1.014459|1.030324|0.975609,false
1078,47.424928,26.875302,0.566691,53.400,33.200,100,97,0.918084|1.066626,0.918084|1.066626|0.988024|1.051365,false
1079,20.755219,25.705979,1.238531,58.800,32.300,100,97,1.044290|0.977293,1.044290|0.977293|1.018039|1.026483,false
1080,46.254328,27.218128,0.588445,65.000,32.600,100,97,0.994306|1.022812,0.994306|1.022812|1.021007|1.043229,false
1081,45.719052,26.898265,0.588338,65.200,34.200,100,97,0.923377|0.983043,0.923377|0.983043|0.993740|0.996299,false
1082,46.340234,27.032656,0.583352,62.000,33.700,100,97,0.970458|1.021429,0.970458|1.021429|1.038061|0.952715,false
1083,20.318580,27.038710,1.330738,65.200,33.700,100,97,0.980709|0.918985,0.980709|0.918985|1.009784|0.997253,false
1084,46.387728,27.704322,0.597234,60.000,33.800,100,97,0.944934|1.023357,0.944934|1.023357|1.054451|1.014277,false
1085,44.967698,27.110920,0.602898,76.600,33.700,100,97,0.965543|0.968914,0.965543|0.968914|1.014679|1.002420,false
1086,23.105282,25.142893,1.088188,64.800,32.800,100,97,1.011294|0.983978,1.011294|0.983978|0.957370|0.993530,false
1087,18.928148,27.708617,1.463884,60.600,33.800,100,97,1.009156|0.917633,1.009156|0.917633|1.070189|1.005043,false
1088,47.977000,27.136668,0.565618,51.200,32.500,100,97,0.988103|1.112286,0.988103|1.112286|1.012895|1.069143,false
1089,46.216425,27.007770,0.584376,62.000,33.600,100,97,0.932639|1.006551,0.932639|1.006551|1.013535|1.078870,false
1090,47.906831,25.538337,0.533083,54.800,32.100,100,97,1.046132|1.106236,1.046132|1.106236|0.985539|1.021154,false
1091,19.365101,26.736999,1.380680,59.400,32.700,100,97,1.026127|0.937742,1.026127|0.937742|1.022272|0.967242,false
1092,45.585829,27.185139,0.596351,69.000,33.900,100,97,0.960502|0.984666,0.960502|0.984666|1.041305|0.948794,false
1093,19.466807,24.694708,1.268555,60.800,32.800,100,97,1.011988|0.929333,1.011988|0.929333|0.943968|1.066254,false
1094,19.204445,24.884206,1.295752,59.600,32.700,100,97,1.021998|0.931996,1.021998|0.931996|0.954348|1.051265,false
1095,45.403924,27.276974,0.600762,68.600,34.300,100,97,0.940162|0.973399,0.940162|0.973399|1.042386|0.957272,false
1096,46.023102,25.463960,0.553286,64.800,32.600,100,97,0.957802|1.001489,0.957802|1.001489|0.962550|0.975141,false
1097,21.386242,25.387485,1.187094,59.800,32.900,100,97,1.040555|0.985065,1.040555|0.985065|1.013037|0.962239,false
1098,24.244931,25.364499,1.046177,65.600,32.600,100,97,1.019883|0.998409,1.019883|0.998409|0.974023|1.016625,false
1099,19.758718,24.035588,1.216455,59.800,33.000,100,97,1.024601|0.944117,1.024601|0.944117|0.925205|1.015233,false
1100,23.533324,25.302492,1.075177,62.800,32.900,100,97,1.036297|1.006558,1.036297|1.006558|0.961723|1.014638,false
1101,20.031422,25.900377,1.292987,54.400,32.700,100,97,1.086260|0.997190,1.086260|0.997190|1.014999|0.988944,false
1102,22.225650,24.578267,1.105851,66.600,33.300,100,97,0.989041|0.950160,0.989041|0.950160|0.945984|0.949431,false
1103,45.027297,24.422629,0.542396,84.800,33.500,100,97,0.991248|0.989925,0.991248|0.989925|0.958725|0.887827,false
1104,47.421472,27.598542,0.581984,55.800,32.600,100,97,1.024130|1.084209,1.024130|1.084209|1.040041|0.994206,false
1105,47.188371,27.694498,0.586892,55.600,34.100,100,97,0.933169|1.052801,0.933169|1.052801|1.045495|0.952162,false
1106,46.740239,24.773292,0.530021,60.400,32.500,100,97,0.978413|1.034322,0.978413|1.034322|0.920129|1.050853,false
1107,46.004292,25.112840,0.545880,65.800,32.900,100,97,0.989214|1.012642,0.989214|1.012642|0.953137|0.958845,false
1108,23.405524,25.307481,1.081261,69.200,32.600,100,97,0.981386|0.955319,0.981386|0.955319|0.966049|1.040278,false
1109,47.057095,27.171316,0.577412,57.800,34.000,100,97,0.951936|1.042993,0.951936|1.042993|1.024523|0.968016,false
1110,46.116161,25.470489,0.552312,68.200,32.800,100,97,1.020399|1.026668,1.020399|1.026668|0.960972|1.025112,false
1111,19.332185,25.671845,1.327933,56.400,32.500,100,97,1.055811|0.960451,1.055811|0.960451|1.032398|0.991516,false
1112,47.583182,27.092539,0.569372,54.800,33.200,100,97,0.986019|1.078543,0.986019|1.078543|1.016188|0.937399,false
1113,45.989368,25.352049,0.551259,64.000,33.000,100,97,0.970689|1.013279,0.970689|1.013279|0.942468|0.947792,false
1114,21.556430,25.795596,1.196654,55.400,32.500,100,97,1.089634|1.029031,1.089634|1.029031|1.021257|0.981025,false
1115,26.690026,25.761466,0.965209,64.600,32.400,100,97,1.060123|1.053113,1.060123|1.053113|0.993215|1.000591,false
1116,46.237702,27.911765,0.603658,59.600,35.300,100,97,0.886912|1.004486,0.886912|1.004486|1.027573|1.015286,false
1117,47.487240,26.697691,0.562208,54.000,32.300,100,97,0.988350|1.086264,0.988350|1.086264|0.993884|1.063037,false
1118,28.506830,27.074171,0.949743,81.000,33.700,100,97,0.966519|0.961469,0.966519|0.961469|1.015952|1.021351,false
1119,43.954870,24.483089,0.557005,91.800,33.100,100,97,0.933383|0.934115,0.933383|0.934115|0.921999|1.008144,false
1120,32.759355,24.191887,0.738473,79.600,32.900,100,97,1.032126|1.032129,1.032126|1.032129|0.943884|0.937220,false
1121,47.147184,26.178014,0.555240,56.400,32.500,100,97,0.976212|1.062230,0.976212|1.062230|0.984050|1.001990,false
1122,21.985889,25.467729,1.158367,63.600,32.500,100,97,1.010318|0.968018,1.010318|0.968018|0.978558|1.062267,false
1123,46.372501,27.105437,0.584515,62.000,33.200,100,97,0.980600|1.023966,0.980600|1.023966|1.001904|0.959369,false
1124,46.006715,27.885536,0.606119,72.400,32.800,100,97,1.027890|1.032909,1.027890|1.032909|1.054024|0.986576,false
